mature_Cor,immature_Cor
0610043K17Rik,1110015O18Rik
1110046J04Rik,1110032F04Rik
1190005I06Rik,1110038B12Rik
1500004A13Rik,1500009L16Rik
1500015A07Rik,1700025G04Rik
1700001L19Rik,1700086L19Rik
1700007K13Rik,1810010H24Rik
1700012D14Rik,2410006H16Rik
1700017B05Rik,2510009E07Rik
1700018L02Rik,2610307P16Rik
1700019D03Rik,2700099C18Rik
1700026J14Rik,2810025M15Rik
1700028K03Rik,2810408I11Rik
1700029J07Rik,2900026A02Rik
1700034I23Rik,3110080E11Rik
1700047M11Rik,3110082I17Rik
1700063D05Rik,4833422C13Rik
1700071M16Rik,4921524J17Rik
1700088E04Rik,4930503L19Rik
1810062O18Rik,4930579G24Rik
2010007H06Rik,4933400C23Rik
2210408F21Rik,4933404O12Rik
2610037D02Rik,5330417C22Rik
2700078F05Rik,5430405H02Rik
2810405F17Rik,5930403N24Rik
2810407A14Rik,5930409G06Rik
2900052L18Rik,6330403K07Rik
2900052N01Rik,7530428D23Rik
2900076A07Rik,8030451A03Rik
3110056K07Rik,9330182L06Rik
3222401L13Rik,9530068E07Rik
3425401B19Rik,A2m
3830406C13Rik,Aacs
4632427E13Rik,Aard
4732416N19Rik,Abca1
4732440D04Rik,Abcc12
4732471J01Rik,Abcc9
4833404L02Rik,Abhd17c
4833413G10Rik,Abhd2
4833421K07Rik,Abracl
4930402H24Rik,Acat2
4930431P19Rik,Acd
4930480K15Rik,Ache
4930488L21Rik,Ackr2
4930506C21Rik,Acot1
4930544I03Rik,Acsl5
4930545L23Rik,Actl6a
4930565N06Rik,Actn1
4930570G19Rik,Actr3
4930581F22Rik,Adam12
4930590J08Rik,Adamts12
4931406G06Rik,Adamts16
4932422M17Rik,Adamts17
4933407L21Rik,Adamts3
4933413C19Rik,Adamts8
4933427I22Rik,Adamts9
4933428G20Rik,Adamtsl2
4933431E20Rik,Adcy8
5031410I06Rik,Adgra2
5031415H12Rik,Adgra3
5031434O11Rik,Adgrb1
5031439G07Rik,Adgrb2
5033404E19Rik,Adgrl2
5330406M23Rik,Adgrv1
5330438D12Rik,Adm
5930430L01Rik,Adnp
6430511E19Rik,Adora2a
6430550D23Rik,Aebp1
6430590A07Rik,Afap1l2
6720427I07Rik,Aff2
6820402A03Rik,Aff3
8030453O22Rik,Agrn
8430432A02Rik,AI504432
9330121K16Rik,AI506816
9330136K24Rik,Airn
9330159F19Rik,Ajuba
9330162012Rik,Akap13
9430034N14Rik,Akr1a1
9430041J12Rik,Akt1
9530085L11Rik,Alas2
9630001P10Rik,Aldh18a1
9630010A21Rik,Aldh1l2
9830144P21Rik,Alg13
A130014A01Rik,Allc
A230001M10Rik,Alyref
A230005M16Rik,Ammecr1
A230009B12Rik,Amot
A230056P14Rik,Anapc5
A230059L01Rik,Angpt1
A330015K06Rik,Angpt2
A330023F24Rik,Angptl4
A330093E20Rik,Ankle1
A430110L20Rik,Ankrd42
A530064N14Rik,Ankrd45
A530072M11Rik,Anp32b
A730020M07Rik,Anp32e
A730036I17Rik,Anpep
A830018L16Rik,Anxa2
A830019P07Rik,Anxa3
A930003A15Rik,Ap1s2
A930005G22Rik,Ap3s1
A930017K11Rik,Apaf1
A930017M01Rik,Apcdd1
A930036I15Rik,Apex1
A930037H05Rik,Aplnr
AA986860,Apold1
Aass,Aprt
Aatk,Aqp1
Abca2,Arap3
Abca5,Arf2
Abca6,Arf6
Abca8a,Arfgef3
Abcb9,Arhgap11a
Abcc10,Arhgap18
Abcc5,Arhgap19
Abcd2,Arhgap27
Abcd4,Arhgap28
Abhd14b,Arhgdib
Abhd18,Arhgef15
Abhd3,Arhgef3
Abhd6,Arhgef39
Ablim2,Arhgef5
Abr,Arl15
Acat3,Arl4a
Acbd4,Arl4c
Ace2,Arl6ip6
Acer2,Armcx2
Acer3,Armcx4
Acot11,Armh4
Acot6,Arpc2
Acot7,Arpc3
Acrbp,Arrdc4
Acsbg1,Asb4
Acsl3,Ascl1
Acsl6,Asf1b
Acss2,Asns
Acvr1c,Asnsd1
Adam11,Aspm
Adam1a,Atad2
Adam23,Atad5
Adamts4,Atf3
Adamtsl1,Atf4
Adamtsl3,Atg12
Adamtsl4,Atp1a3
Adamtsl5,Atp2b4
Adap1,Atpif1
Adcy2,Atrnl1
Adcy5,AU020206
Adcy9,AU021092
Add3,Aunip
Adgrf4,Aurka
Adi1,Aurkb
Adk,AW011738
Ado,Azin1
Adora1,B3galnt1
Adora2b,B3gat1
Adra1a,B3gat2
Adra2a,B3gnt5
Adssl1,B4galt1
Afg1l,B4galt2
Agbl2,B630019K06Rik
Agbl3,Bag2
Agl,Baiap2
Agmo,Bak1
Agpat4,Bambi
Agpat5,Banf1
Agt,Bard1
Ahcyl1,Basp1
AI413582,Baz1a
AI480526,BC028528
Aifm2,BC055324
Aifm3,Bcl11a
Aig1,Bcl6b
Ajm1,Bcl7c
Ak1,Bend3
Aldh1a1,Bend4
Aldh2,Bend5
Aldh3b1,Best1
Aldoc,Bex1
Alg12,Bex2
Alms1-ps1,Bex3
Alms1-ps2,Bex4
Alox12,Bgn
Alpk1,Birc5
Als2cl,Blm
Amd-ps3,Bmp6
Amigo1,Bmpr1a
Amigo2,Bok
Amy1,Bora
Ank,Brca1
Ank2,Brca2
Ank3,Brd3
Ankrd24,Brip1
Ankrd29,Brip1os
Ankrd34c,Btg1
Anks1,Btg2
Anks1b,Btg3
Ankub1,Bub1
Ano4,Bub1b
Anxa8,Bzw1
Aox1,Bzw2
Ap5z1,C130074G19Rik
Aph1c,C1qtnf1
Aplp1,C1qtnf6
Apobr,C430049B03Rik
Apod,C530008M17Rik
Apoe,Cacna1b
Appl2,Cacna1e
Arhgap23,Cacna1g
Arhgap24,Cacna2d1
Arhgap26,Cacng4
Arhgap5,Cacng5
Arhgef10,Cadps2
Arhgef19,Calcrl
Arhgef28,Calu
Arl2,Camsap1
Arpp21,Cand2
Arrb1,Capza1
Arrdc2,Car8
Arrdc3,Casp3
Arsg,Casp6
Asb2,Casp7
Asic2,Casp8
Aspa,Cast
Ass1,Cbfb
Atg4c,Cbl
Atp10a,Cbln2
Atp10b,Cbx2
Atp11a,Cbx3
Atp13a4,Cbx5
Atp1a2,Ccdc102a
Atp1b2,Ccdc125
Atp2b2,Ccdc177
Atp8b1,Ccdc3
Atxn7l1,Ccdc6
AW112010,Ccdc80
B230206H07Rik,Ccm2l
B230307C23Rik,Ccn1
B230369F24Rik,Ccna2
B3galt2,Ccnb1
B3galt5,Ccnb2
B3gnt9,Ccnd1
B4gat1,Ccnd2
B630019A10Rik,Ccne1
B930095G15Rik,Ccne2
Bbox1,Ccnf
Bbs10,Ccno
BC016579,Cd1d1
BC030343,Cd200
BC034090,Cd248
BC049715,Cd24a
BC055402,Cd276
BC106179,Cd34
Bcas1,Cd40
Bcas1os1,Cd44
Bcas3,Cd83
Bcas3os1,Cd9
Bcl2l2,Cd93
Bcl6,Cdc20
Bco2,Cdc25a
Bfsp2,Cdc25b
Bhlhe41,Cdc25c
Bicd1,Cdc27
Bicd2,Cdc42ep3
Bin1,Cdc45
Bmp2k,Cdc6
Bmx,Cdc7
Bnip3,Cdca2
Brdt,Cdca3
Brinp3,Cdca4
Brsk1,Cdca5
Bsn,Cdca7
Btbd16,Cdca7l
Btbd17,Cdca8
C030018K13Rik,Cdh13
C030029H02Rik,Cdh24
C030034I22Rik,Cdh5
C030037D09Rik,Cdh6
C1qtnf5,Cdk1
C230031I18Rik,Cdk2
C230071H17Rik,Cdk2ap1
C4b,Cdk4
C630043F03Rik,Cdk6
Cables1,Cdkn1c
Cabyr,Cdkn2b
Cacna2d4,Cdkn2c
Cacnb4,Cdkn2d
Cacng8,Cdkn3
Cadm1,Cdo1
