gene,module,module_cons
Hist1h1b,49,immat_1
Pclaf,47,immat_1
Hist1h4d,47,immat_1
Hist1h2ap,47,immat_1
Hist1h3e,47,immat_1
Hist1h2ae,47,immat_1
Hist1h1e,47,immat_1
Atad2,12,immat_1
Rfc2,12,immat_1
Dnmt1,12,immat_1
Tipin,12,immat_1
Rfc4,12,immat_1
Gins2,12,immat_1
Tfdp1,12,immat_1
Dhfr,12,immat_1
Hells,12,immat_1
Mcm3,12,immat_1
Rfc3,12,immat_1
Mcm7,12,immat_1
Orc6,12,immat_1
Hat1,12,immat_1
Mcm4,12,immat_1
Ccne2,12,immat_1
Slbp,12,immat_1
Mcm6,12,immat_1
Siva1,12,immat_1
Hist1h3c,43,immat_1
Hist1h4h,43,immat_1
Hist2h2ac,43,immat_1
Hist1h1a,43,immat_1
Hist1h2bn,43,immat_1
Hist1h2ak,43,immat_1
Hist1h2an,43,immat_1
Hist1h4c,43,immat_1
Hist2h2bb,43,immat_1
Hist1h3f,43,immat_1
Hist1h2bb,43,immat_1
Hist1h1d,43,immat_1
Hist1h2bm,43,immat_1
Hist1h3i,43,immat_1
Hist1h2bj,43,immat_1
Hist1h2af,43,immat_1
Hist1h2ab,43,immat_1
Lig1,43,immat_1
Tyms,43,immat_1
Tk1,43,immat_1
Oxct1,7,immat_2
Psat1,7,immat_2
Stk17b,7,immat_2
Cspp1,7,immat_2
Foxg1,7,immat_2
Srek1,7,immat_2
Rbm26,7,immat_2
Dhx36,7,immat_2
Crebbp,7,immat_2
Ttc3,7,immat_2
Prrx1,7,immat_2
Rsf1,7,immat_2
Rbl1,7,immat_2
Haspin,7,immat_2
Dleu2,7,immat_2
Iqgap3,7,immat_2
Cep192,7,immat_2
Pkn2,7,immat_2
Phip,7,immat_2
Tial1,7,immat_2
Tia1,7,immat_2
Psmg2,7,immat_2
Fam216a,7,immat_2
Gpsm2,7,immat_2
Prr11,7,immat_2
Odf2,7,immat_2
Troap,7,immat_2
Spag5,7,immat_2
4930503L19Rik,7,immat_2
Arhgap19,7,immat_2
Lnpk,7,immat_2
Gtse1,7,immat_2
Hyls1,7,immat_2
Eri2,7,immat_2
Kif18b,7,immat_2
Mtfr2,7,immat_2
Pif1,7,immat_2
Kif14,7,immat_2
Ankle1,7,immat_2
Srpk2,7,immat_2
Pex13,7,immat_2
Pdhb,7,immat_2
Hspa4l,7,immat_2
Ccdc18,7,immat_2
Stox2,7,immat_2
Cdc23,7,immat_2
Uhrf2,7,immat_2
Arhgap21,7,immat_2
Rdh11,7,immat_2
Etv5,7,immat_2
Wnk1,7,immat_2
Spop,7,immat_2
Ndc1,7,immat_2
Dync1h1,7,immat_2
Cul3,7,immat_2
Bptf,7,immat_2
Prrc2a,7,immat_2
Ahi1,7,immat_2
1700021F05Rik,7,immat_2
Ppp1r2,7,immat_2
Ppp1r35,7,immat_2
Tmem237,7,immat_2
Smu1,7,immat_2
Brd9,7,immat_2
Thoc2,7,immat_2
Fkbp2,7,immat_2
Cnep1r1,7,immat_2
Tmem138,7,immat_2
Rnf26,7,immat_2
Rdm1,7,immat_2
Mzt1,7,immat_2
Cip2a,7,immat_2
Vbp1,7,immat_2
Emp1,7,immat_2
Cby1,7,immat_2
Fopnl,7,immat_2
Nup35,7,immat_2
Nup37,7,immat_2
Ccdc61,7,immat_2
Zbed3,7,immat_2
Paip2b,7,immat_2
Ss18,7,immat_2
Pak4,7,immat_2
Cyp39a1,7,immat_2
Ttc9c,7,immat_2
Cdc27,7,immat_2
Katnbl1,7,immat_2
Ppp2r5e,7,immat_2
Cdc25b,7,immat_2
Tnfaip8l1,7,immat_2
Arhgef39,7,immat_2
Ccdc77,7,immat_2
Miip,7,immat_2
Triobp,7,immat_2
Cep89,7,immat_2
Cep70,7,immat_2
Tax1bp1,7,immat_2
Ptms,7,immat_2
Gpx7,7,immat_2
Arl2bp,7,immat_2
Rangrf,7,immat_2
Gipc1,7,immat_2
Prpsap1,7,immat_2
