"","X6_B14d_1","X6_NSC_1","X8_B14d_5","X8_EF_5","X9_B14d_4","X9_EF_6","iA3","iA4","iA7","mA10","mA5","mA7"
"ENSMUSG00000000001",2120,2626,1976,2731,2606,2056,2844,2520,2335,930,458,730
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",89.26,1062,27,333,26,294,139,184,125,18,24,15
"ENSMUSG00000000031",0,1,0,0,3,1,417.12,147,83,0,13,8
"ENSMUSG00000000037",38,92,12,39,26,55,100,70,105,9,5,7
"ENSMUSG00000000049",57,1,6,0,23,0,3,1,0,0,2,0
"ENSMUSG00000000056",1078,284,307,244,365,154,271,310,213,266,148,201
"ENSMUSG00000000058",1902,1479,429,167,831,156,332,431,403,245,166,297
"ENSMUSG00000000078",1747,2411,1016,1185,3129,994,3678,4026,3582,645,368,634
"ENSMUSG00000000085",612,678,250,286,408,201,436,366,316,190,157,242
"ENSMUSG00000000088",1711.68,1629.79,4031.28,2767.93,4313.43,2149.8,1266.76,1488.64,1390.3,1079.66,486.48,1039.47
"ENSMUSG00000000093",532,66,89,9,70,7,107,125,73,19,30,26
"ENSMUSG00000000094",1,2,0,2,1,0,91,51,50,0,9,14
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,6,2.48
"ENSMUSG00000000120",187,27,239,5,331,5,51,30,22,12,20,28
"ENSMUSG00000000125",1,5,1,0,0,1,13,5,10,39,18,35
"ENSMUSG00000000126",748,23,340,7,222,4,35,6,3,3,19,19
"ENSMUSG00000000127",797,493,401,373,471,263,402,306,304,164,126,200
"ENSMUSG00000000131",1689,2932,649,1259,923,906,777,778.67,524,325,304,467
"ENSMUSG00000000134",1641,1547,237,349,298,216,216,232,167,119,80,118
"ENSMUSG00000000142",769.73,947.91,349,441,503.99,293,1020.33,945,614.99,287,209,345
"ENSMUSG00000000148",1049,534,100,105,163,78,110,105,83,49,40,49
"ENSMUSG00000000149",4318.75,3087,951.65,794,1059.18,577.93,1196.43,1401.77,1177.06,833.85,624.61,1045.75
"ENSMUSG00000000154",19,0,17,0,36,0,15,15,4,19,6,19
"ENSMUSG00000000157",0,0,0,0,0,0,4,0,0,0,2,4
"ENSMUSG00000000159",0,0,0,0,0,0,71,70,56,4,13,12
"ENSMUSG00000000167",104,55,159.7,61,251,39,15.07,25.32,12,18,14,20
"ENSMUSG00000000168",1656,1752,1314,1160,1556,956,740,738,715,568,316,467
