sample,replicate,run,fastq_1,fastq_2
Astr_ad,1,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A1_S9_L003_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A1_S9_L003_R2_001.fastq.gz
Astr_ad,1,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A1_S9_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A1_S9_L008_R2_001.fastq.gz
Astr_ad,2,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A2_S10_L003_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A2_S10_L003_R2_001.fastq.gz
Astr_ad,2,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A2_S10_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180501_D00446_0275_ACBW9HANXX/fastq/LAT596A2_S10_L008_R2_001.fastq.gz
Astr_P4,1,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A3_S1_L004_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A3_S1_L004_R2_001.fastq.gz
Astr_P4,2,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A4_S2_L004_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A4_S2_L004_R2_001.fastq.gz
Astr_P4,3,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A5_S3_L004_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A5_S3_L004_R2_001.fastq.gz
Astr_ad,3,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A6_S4_L004_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A6_S4_L004_R2_001.fastq.gz
Astr_ad,4,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A7_S5_L004_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180813_K00102_0243_AHWNCHBBXX/fastq/LAT596A7_S5_L004_R2_001.fastq.gz
Astr_P4,1,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A3_S63_L005_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A3_S63_L005_R2_001.fastq.gz
Astr_P4,2,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A4_S64_L005_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A4_S64_L005_R2_001.fastq.gz
Astr_P4,3,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A5_S65_L005_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A5_S65_L005_R2_001.fastq.gz
Astr_ad,3,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A6_S66_L005_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A6_S66_L005_R2_001.fastq.gz
Astr_ad,4,2,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A7_S67_L005_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180831_K00102_0251_BHWYVYBBXX/fastq/LAT596A7_S67_L005_R2_001.fastq.gz
NSC_in_vitro,1,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A10_S3_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A10_S3_L008_R2_001.fastq.gz
Astr_in_vitro,1,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A11_S4_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A11_S4_L008_R2_001.fastq.gz
Astr_in_vitro,2,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A12_S5_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A12_S5_L008_R2_001.fastq.gz
Astr_in_vitro,3,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A13_S6_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A13_S6_L008_R2_001.fastq.gz
NSC_in_vitro,2,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A8_S1_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A8_S1_L008_R2_001.fastq.gz
NSC_in_vitro,3,1,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A9_S2_L008_R1_001.fastq.gz,/camp/lab/guillemotf/inputs/babs/michael.lattke/mickael.escudero/PM17019/180917_K00102_0257_BH2GKLBBXY/fastq/LAT596A9_S2_L008_R2_001.fastq.gz
