Metabolite,Exp,Condition,label_percent_cells,conc_cells,label_percent_media,conc_media,conc_media_baseline
Pyruvate,x6-3,EGFP,66.24,1.85,62.76,20.29,37.8
Pyruvate,x8-1,EGFP,67.21,3.273,52.34,19.65,37.8
Pyruvate,x8-2,EGFP,65.26,2.297,51.99,24.41,37.8
Pyruvate,x9-2,EGFP,65.57,3.057,60.59,20.84,37.8
Pyruvate,x9-4,EGFP,64.38,7.527,52.84,17.79,37.8
Pyruvate,x6-3,Rorb,59.26,1.644,47.96,20.79,37.8
Pyruvate,x8-1,Rorb,49.29,1.61,44.1,16.51,37.8
Pyruvate,x8-2,Rorb,43.9,1.061,29.07,26.78,37.8
Pyruvate,x9-2,Rorb,60.68,1.814,43.74,20.48,37.8
Pyruvate,x9-4,Rorb,51.75,2.527,39.71,20.21,37.8
Pyruvate,x6-3,Fezf2,46.09,1.059,50.58,18.6,37.8
Pyruvate,x8-1,Fezf2,38.87,0.4748,56.38,13.54,37.8
Pyruvate,x8-2,Fezf2,36.98,0.2215,42.65,19.77,37.8
Pyruvate,x9-2,Fezf2,57.46,2.624,43.28,22.45,37.8
Pyruvate,x9-4,Fezf2,62.55,6.689,48.14,21.22,37.8
Lactate,x6-3,EGFP,87.77,0.8449,52.43,4.731,0.07456
Lactate,x8-1,EGFP,93.64,1.221,43.28,3.013,0.07456
Lactate,x8-2,EGFP,100,0.7836,40.49,3.198,0.07456
Lactate,x9-2,EGFP,96.85,1.022,48.81,4.073,0.07456
Lactate,x9-4,EGFP,88.02,3.323,42.05,3.157,0.07456
Lactate,x6-3,Rorb,100,0.7002,38.36,3.427,0.07456
Lactate,x8-1,Rorb,96.51,0.416,34.03,2.525,0.07456
Lactate,x8-2,Rorb,100,0.3818,17.65,2.305,0.07456
Lactate,x9-2,Rorb,100,0.6128,32.3,2.645,0.07456
Lactate,x9-4,Rorb,100,0.728,31.55,2.677,0.07456
Lactate,x6-3,Fezf2,79.06,0.4414,44.49,3.889,0.07456
Lactate,x8-1,Fezf2,77.79,0.5338,46.72,3.657,0.07456
Lactate,x8-2,Fezf2,45.58,0.9433,34.31,2.494,0.07456
Lactate,x9-2,Fezf2,85.01,0.6601,36,2.667,0.07456
Lactate,x9-4,Fezf2,72.79,2.795,38.31,3.277,0.07456
Alanine,x6-3,EGFP,53.87,10.19,19.14,1.828,0.6726
Alanine,x8-1,EGFP,49.11,11.99,10.59,1.949,0.6726
Alanine,x8-2,EGFP,49.14,9.031,15.47,1.569,0.6726
Alanine,x9-2,EGFP,53.27,17.51,17.19,2.126,0.6726
Alanine,x9-4,EGFP,47.62,42.07,11.48,1.957,0.6726
Alanine,x6-3,Rorb,35.91,12.74,5.87,1.504,0.6726
Alanine,x8-1,Rorb,36.02,11.01,5.65,1.645,0.6726
Alanine,x8-2,Rorb,23.18,11.94,2.91,1.726,0.6726
Alanine,x9-2,Rorb,40.93,16.05,8.18,2.213,0.6726
Alanine,x9-4,Rorb,38.01,29.91,6.84,2.295,0.6726
Alanine,x6-3,Fezf2,31.65,4.719,3.61,1.363,0.6726
Alanine,x8-1,Fezf2,40.18,5.94,5.37,1.23,0.6726
Alanine,x8-2,Fezf2,22.79,2.864,2.03,1.207,0.6726
Alanine,x9-2,Fezf2,27.29,5.66,3.16,1.695,0.6726
Alanine,x9-4,Fezf2,31.99,18.95,4.69,1.731,0.6726
Valine,x6-3,EGFP,,3.762,,6.546,7.432
Valine,x8-1,EGFP,,6.168,,7.037,7.432
Valine,x8-2,EGFP,,3.821,,5.799,7.432
Valine,x9-2,EGFP,,6.894,,8.393,7.432
Valine,x9-4,EGFP,,18.01,,5.673,7.432
Valine,x6-3,Rorb,,4.804,,6.713,7.432
Valine,x8-1,Rorb,,5.319,,7.627,7.432
Valine,x8-2,Rorb,,3.268,,8.46,7.432
Valine,x9-2,Rorb,,4.495,,7.024,7.432
Valine,x9-4,Rorb,,9.012,,6.855,7.432
Valine,x6-3,Fezf2,,4.429,,6.215,7.432
Valine,x8-1,Fezf2,,6.226,,7.553,7.432
Valine,x8-2,Fezf2,,4.963,,7.796,7.432
Valine,x9-2,Fezf2,,4.709,,6.864,7.432
Valine,x9-4,Fezf2,,14.46,,5.545,7.432
Isoleucine,x6-3,EGFP,,1.531,,1.813,1.313
Isoleucine,x8-1,EGFP,,3.325,,2.365,1.313
Isoleucine,x8-2,EGFP,,1.436,,2.17,1.313
Isoleucine,x9-2,EGFP,,3.321,,4.018,1.313
Isoleucine,x9-4,EGFP,,9.194,,1.351,1.313
Isoleucine,x6-3,Rorb,,0.8679,,1.252,1.313
Isoleucine,x8-1,Rorb,,2.594,,1.992,1.313
Isoleucine,x8-2,Rorb,,1.083,,3.332,1.313
Isoleucine,x9-2,Rorb,,2.188,,1.792,1.313
Isoleucine,x9-4,Rorb,,4.334,,2.014,1.313
Isoleucine,x6-3,Fezf2,,0.9348,,1.575,1.313
Isoleucine,x8-1,Fezf2,,3.173,,1.806,1.313
Isoleucine,x8-2,Fezf2,,2.408,,2.012,1.313
Isoleucine,x9-2,Fezf2,,1.718,,1.989,1.313
Isoleucine,x9-4,Fezf2,,6.154,,1.397,1.313
Proline,x6-3,EGFP,,1.86,,0.3933,0.285
Proline,x8-1,EGFP,,5.537,,0.449,0.285
Proline,x8-2,EGFP,,1.285,,0.4539,0.285
Proline,x9-2,EGFP,,6.154,,0.7171,0.285
Proline,x9-4,EGFP,,17,,0.3602,0.285
Proline,x6-3,Rorb,,0.6897,,0.3442,0.285
Proline,x8-1,Rorb,,2.179,,0.4198,0.285
Proline,x8-2,Rorb,,0.4893,,0.4269,0.285
Proline,x9-2,Rorb,,1.337,,0.4118,0.285
Proline,x9-4,Rorb,,3.369,,0.4092,0.285
Proline,x6-3,Fezf2,,0.786,,0.3412,0.285
Proline,x8-1,Fezf2,,3.975,,0.3963,0.285
Proline,x8-2,Fezf2,,2.399,,0.4192,0.285
Proline,x9-2,Fezf2,,1.524,,0.4077,0.285
Proline,x9-4,Fezf2,,7.883,,0.3241,0.285
Glycine,x6-3,EGFP,0.53,8.006,,3.179,3.53
Glycine,x8-1,EGFP,1.29,8.695,,3.607,3.53
Glycine,x8-2,EGFP,1.62,4.762,,3.477,3.53
Glycine,x9-2,EGFP,1.66,9.593,,3.52,3.53
Glycine,x9-4,EGFP,1.6,24.06,,3.368,3.53
Glycine,x6-3,Rorb,1,8.958,,3.2,3.53
Glycine,x8-1,Rorb,2.4,5.799,,3.341,3.53
Glycine,x8-2,Rorb,2.07,3.378,,3.589,3.53
Glycine,x9-2,Rorb,2.97,5.72,,3.287,3.53
Glycine,x9-4,Rorb,2.69,11.97,,3.409,3.53
Glycine,x6-3,Fezf2,0.33,8.839,,3.379,3.53
Glycine,x8-1,Fezf2,0.63,8.15,,3.459,3.53
Glycine,x8-2,Fezf2,0.38,6.744,,3.606,3.53
Glycine,x9-2,Fezf2,2.06,9.648,,3.724,3.53
Glycine,x9-4,Fezf2,1.88,21.57,,3.6,3.53
Succinate,x6-3,EGFP,12.87,0.04335,2.63,0.009438,0.00495
Succinate,x8-1,EGFP,26.46,0.06724,1.54,0.01448,0.00495
Succinate,x8-2,EGFP,24.16,0.05443,6.92,0.009031,0.00495
Succinate,x9-2,EGFP,5.07,0.119,5.56,0.0107,0.00495
Succinate,x9-4,EGFP,11.83,0.3682,3.55,0.01045,0.00495
Succinate,x6-3,Rorb,10.49,0.0791,2.53,0.003803,0.00495
Succinate,x8-1,Rorb,19.53,0.04997,1.5,0.008539,0.00495
Succinate,x8-2,Rorb,5.63,0.07081,1.98,0.004951,0.00495
Succinate,x9-2,Rorb,13.79,0.03048,2.23,0.005424,0.00495
Succinate,x9-4,Rorb,3.59,0.2954,2.68,0.009455,0.00495
Succinate,x6-3,Fezf2,33.83,0.1127,8,0.004488,0.00495
Succinate,x8-1,Fezf2,42.29,0.08571,9.36,0.007224,0.00495
Succinate,x8-2,Fezf2,47.74,0.1463,2.38,0.01112,0.00495
Succinate,x9-2,Fezf2,7.83,0.1344,3.5,0.008669,0.00495
Succinate,x9-4,Fezf2,28.4,0.1405,3.25,0.003444,0.00495
Fumarate,x6-3,EGFP,54.08,1.925,17,0.02422,0.002598
Fumarate,x8-1,EGFP,49.58,1.451,7.31,0.02098,0.002598
Fumarate,x8-2,EGFP,45.7,1.958,11.53,0.02246,0.002598
Fumarate,x9-2,EGFP,52.84,1.77,11.02,0.02328,0.002598
Fumarate,x9-4,EGFP,48.05,4.363,9.72,0.01856,0.002598
Fumarate,x6-3,Rorb,41.79,1.312,11.6,0.01193,0.002598
Fumarate,x8-1,Rorb,37.8,0.9295,5.91,0.01523,0.002598
Fumarate,x8-2,Rorb,16.45,1.219,3.47,0.01199,0.002598
Fumarate,x9-2,Rorb,38.53,1.046,6.3,0.01457,0.002598
Fumarate,x9-4,Rorb,34.79,1.922,5.64,0.01679,0.002598
