immat_Cor,mat_Cor,immat_Str,mat_Str,mat_common,immat_common,mat_common_TFs,immat_common_TFs,immat_Cor_only_TFs,mat_Cor_only_TFs,mat_Cor_only_HOX_TFs,immat_Str_only_TFs,mat_Str_only_TFs,mat_Str_only_HOX_TFs
1110015O18Rik,0610043K17Rik,Hist1h1b,Ctnnd2,Myorg,Pclaf,Dbx2,Dnmt1,Aebp1,Bcl6,Nkx6-2,Foxg1,Klf9,Pou3f3
1110032F04Rik,1110046J04Rik,Pclaf,Dlgap1,Gabrg1,Hist1h2ap,Rora,Tfdp1,Aff2,Bhlhe41,Onecut2,Crebbp,Zfp467,Lhx2
1110038B12Rik,1190005I06Rik,Hist1h4d,Klf9,Slitrk2,Atad2,Rorb,Zbed3,Aff3,Cebpa,Pou3f1,Prrx1,Mxi1,
1500009L16Rik,1500004A13Rik,Hist1h2ap,Mir99ahg,Clasp2,Dnmt1,Hopx,Mxd3,Ascl1,Crebl2,Prox1,Etv5,Klf15,
1700025G04Rik,1500015A07Rik,Hist1h3e,Pcdh7,Gramd3,Tipin,Fezf2,Sall3,Atf3,Ddb2,Zfhx2,Bptf,Sox9,
1700086L19Rik,1700001L19Rik,Hist1h2ae,Auts2,Ctsa,Rfc4,Tef,Hes5,Bcl11a,Esrrb,,Tax1bp1,Pou3f3,
1810010H24Rik,1700007K13Rik,Hist1h1e,Tmed5,Derl1,Gins2,Nr1d2,Parp1,Bcl6b,Ezh1,,Terf1,Zbtb20,
2410006H16Rik,1700012D14Rik,Atad2,Tm9sf2,Hagh,Tfdp1,Hlf,Trp53,Cbfb,Gli2,,Lcorl,Tcf4,
2510009E07Rik,1700017B05Rik,Rfc2,Atp6ap2,P4ha1,Dhfr,Hivep3,Klf10,Cebpb,Gli3,,E2f5,Tsc22d4,
2610307P16Rik,1700018L02Rik,Dnmt1,Lrpap1,Pgm1,Hells,Nr1d1,E2f1,Cebpd,Glis3,,Bola3,Id2,
2700099C18Rik,1700019D03Rik,Tipin,Myorg,Fam13c,Mcm3,Dbp,Mybl2,Cenpt,Grhl1,,Pcbp1,Nfe2l2,
2810025M15Rik,1700026J14Rik,Rfc4,Cpq,Selenbp1,Rfc3,Id4,E2f7,Csrnp1,Hif3a,,Zfp428,Rfx3,
2810408I11Rik,1700028K03Rik,Gins2,Creg1,Plcd4,Mcm7,,Brca1,D630045J12Rik,Ikzf2,,Nfix,Pura,
2900026A02Rik,1700029J07Rik,Tfdp1,Gabrg1,Smpd2,Hat1,,Tcf19,Dach1,Irf6,,Smarcb1,Xbp1,
3110080E11Rik,1700034I23Rik,Dhfr,Slitrk2,Cyp2j6,Mcm4,,E2f8,Dnmt3b,Mitf,,Drap1,Hey1,
