cell_type_markers_ext,TFs_Fantom5_mouse,mature_sel_volcano,immature_sel_volcano,mature_immature_sel_IF,Homeo_TFs_mouse,main_cand_TFs
Slc1a3,Zfx,Acsl6,Ccna2,Glul,Barhl1,Rorb
Aldh1l1,Zfp423,Clmn,Ccnb1,Slc1a2,Barhl2,Dbx2
Sox9,Zeb1,Fam107a,Cdk1,Gjb6,Barx1,Lhx2
Gfap,Vdr,Gjb6,Fabp7,S100b,Barx2,Fezf2
Aqp4,Usf1,Grin2c,Grm5,Fabp7,Bsx,
Aldoc,Tlx1,Htra1,Mki67,Mki67,Cdx1,
Gja1,Tfap2a,Mertk,Nes,Nes,Cdx2,
Slc1a2,Tead1,Slc1a2,Sox11,Id1,Cdx4,
Elavl4,Tcf3,Syne1,Sox4,Id3,Dbx1,
Dcx,Tbp,Glul,Tnc,,Dbx2,
Tubb3,Tal1,S100b,Top2a,,Dlx1,
Mbp,T,,Id1,,Dlx2,
Mog,Stat3,,Id3,,Dlx3,
Opalin,Stat1,,,,Dlx4,
Plp1,Srf,,,,Dlx5,
Sox10,Spz1,,,,Dlx6,
Olig2,Spib,,,,Emx1,
Olig1,Sp1,,,,Emx2,
Cspg4,Sox9,,,,En1,
Pdgfra,Sox5,,,,En2,
Cx3cr1,Sox2,,,,Evx1,
Itgam,Sox17,,,,Evx2,
Aif1,Rxra,,,,Gbx1,
Pecam1,Runx1,,,,Gbx2,
Cd34,Rreb1,,,,Gsx1,
Cldn5,Rest,,,,Gsx2,
Des,Rela,,,,Hhex,
Mcam,Rel,,,,Hlx,
Pdgfrb,Pparg,,,,Hmx1,
Mki67,Pou5f1,,,,Hmx2,
Top2a,Plag1,,,,Hmx3,
Cdk1,Pbx1,,,,Hoxa1,
Mcm2,Pax6,,,,Hoxa10,
,Pax5,,,,Hoxa11,
,Pax2,,,,Hoxa13,
,Nr4a2,,,,Hoxa2,
,Nr3c1,,,,Hoxa3,
,Nr2f1,,,,Hoxa4,
,Nr2e3,,,,Hoxa5,
,Nr1h2,,,,Hoxa6,
,Nkx3-2,,,,Hoxa7,
,Nkx3-1,,,,Hoxa9,
,Nhlh1,,,,Hoxb1,
,Nfya,,,,Hoxb13,
,Nfkb1,,,,Hoxb2,
,Nfil3,,,,Hoxb3,
,Nfic,,,,Hoxb4,
,Nfe2l2,,,,Hoxb5,
,Nfatc2,,,,Hoxb6,
,Mycn,,,,Hoxb7,
,Myc,,,,Hoxb8,
,Myb,,,,Hoxb9,
,Mef2a,,,,Hoxc10,
,Max,,,,Hoxc11,
,Mafb,,,,Hoxc12,
,Lhx3,,,,Hoxc13,
,Klf4,,,,Hoxc4,
,Irf2,,,,Hoxc5,
,Irf1,,,,Hoxc6,
,Insm1,,,,Hoxc8,
,Hnf4a,,,,Hoxc9,
,Hnf1b,,,,Hoxd1,
,Hnf1a,,,,Hoxd10,
,Hlf,,,,Hoxd11,
,Hif1a,,,,Hoxd12,
,Hand1,,,,Hoxd13,
,Gata1,,,,Hoxd3,
,Gabpa,,,,Hoxd4,
,Foxq1,,,,Hoxd8,
,Foxo3,,,,Hoxd9,
,Foxi1,,,,Lbx1,
,Foxf2,,,,Lbx2,
,Foxd3,,,,Meox1,
,Foxd1,,,,Meox2,
,Foxa2,,,,Mnx1,
,Foxa1,,,,Msx1,
,Esrrb,,,,Msx2,
,Esr2,,,,Msx3,
,Esr1,,,,Nanog,
,En1,,,,NanogPa,
,Elk4,,,,NanogPb,
,Elk1,,,,Nkx1-1,
,Elf5,,,,Nkx1-2,
,Egr1,,,,Nkx2-1,
,Ebf1,,,,Nkx2-2,
,E2f1,,,,Nkx2-3,
,Ddit3,,,,Nkx2-4,
,Ctcf,,,,Nkx2-5,
,Creb1,,,,Nkx2-6,
,Cebpa,,,,Nkx2-9,
,Arnt,,,,Nkx3-1,
,Ar,,,,Nkx3-2,
,Ahr,,,,Nkx6-1,
,Zzz3,,,,Nkx6-2,
,Zxdc,,,,Nkx6-3,
,Zufsp,,,,Noto,
,Zscan30,,,,Pdx1,
,Zscan29,,,,Tlx1,
,Zscan22,,,,Tlx2,
,Zscan21,,,,Tlx3,
,Zscan2,,,,Vax1,
,Zscan12,,,,Vax2,
,Znfx1,,,,Alx1,
,Znf512b,,,,Alx3,
,Zmat5,,,,Alx4,
,Zmat4,,,,Arx,
,Zmat3,,,,Crx,
,Zmat2,,,,Dmbx1,
,Zmat1,,,,Dux,
,Zkscan6,,,,Duxbl,
,Zkscan5,,,,Esx1,
,Zkscan3,,,,Gm10391,
,Zkscan2,,,,Gm10394,
,Zkscan17,,,,Gm10678,
,Zkscan16,,,,Gm10679,
,Zkscan14,,,,Gm14543,
,Zkscan1,,,,Gm14544,
,Zim2,,,,Gm3959,
,Zim1,,,,Gm3965,
,Zik1,,,,Gm3968,
,Zic5,,,,Gm3977,
,Zic4,,,,Gm3980,
,Zic3,,,,Gm3981,
,Zic2,,,,Gm3984,
,Zic1,,,,Gm3987,
,Zhx3,,,,Gm3989,
,Zhx2,,,,Gm3994,
,Zhx1,,,,Gm3996,
,Zgpat,,,,Gm3998,
,Zfyve26,,,,Gm4001,
,Zfy2,,,,Gm4003,
,Zfpm2,,,,Gm4014,
,Zfpm1,,,,Gm4016,
,Zfp961,,,,Gm4018,
,Zfp958,,,,Gm4023,
,Zfp953,,,,Gm4745,
,Zfp945,,,,Gm4830,
,Zfp941,,,,Gm4897,
,Zfp940,,,,Gm4981,
,Zfp94,,,,Gm5496,
,Zfp92,,,,Gm5889,
,Zfp91,,,,Gm6310,
,Zfp90,,,,Gm7590,
,Zfp9,,,,Gm8040,
,Zfp874b,,,,Gm8053,
,Zfp874a,,,,Gm8057,
,Zfp872,,,,Gm8064,
,Zfp87,,,,Gm8072,
,Zfp867,,,,Gsc,
,Zfp846,,,,Gsc2,
,Zfp84,,,,Hesx1,
,Zfp839,,,,Hopx,
,Zfp830,,,,Isx,
,Zfp828,,,,LOC100417000,
,Zfp827,,,,LOC100504180,
,Zfp821,,,,Mixl1,
,Zfp82,,,,Nobox,
,Zfp810,,,,Obox1,
,Zfp804a,,,,Obox2,
,Zfp800,,,,Obox3,
,Zfp799,,,,Obox5,
,Zfp791,,,,Obox6,
,Zfp790,,,,Otp,
,Zfp788,,,,Otx1,
,Zfp787,,,,Otx2,
,Zfp786,,,,Pax2,
,Zfp784,,,,Pax3,
,Zfp780b,,,,Pax4,
,Zfp78,,,,Pax5,
,Zfp777,,,,Pax6,
,Zfp775,,,,Pax7,
,Zfp771,,,,Pax8,
,Zfp770,,,,Phox2a,
,Zfp768,,,,Phox2b,
,Zfp764,,,,Pitx1,
,Zfp759,,,,Pitx2,
,Zfp750,,,,Pitx3,
,Zfp748,,,,Prop1,
,Zfp747,,,,Prrx1,
,Zfp746,,,,Prrx2,
,Zfp740,,,,Prrxl1,
,Zfp74,,,,Rax,
,Zfp738,,,,Rhox1,
,Zfp719,,,,Rhox10,
,Zfp715,,,,Rhox11,
,Zfp712,,,,Rhox12,
,Zfp711,,,,Rhox13,
,Zfp710,,,,Rhox2a,
,Zfp71-rs1,,,,Rhox2b,
,Zfp709,,,,Rhox2c,
,Zfp708,,,,Rhox2d,
,Zfp707,,,,Rhox2e,
,Zfp706,,,,Rhox2f,
,Zfp704,,,,Rhox2g,
,Zfp703,,,,Rhox2h,
,Zfp7,,,,Rhox3-ps,
,Zfp697,,,,Rhox3a,
,Zfp691,,,,Rhox3b,
,Zfp69,,,,Rhox3c,
,Zfp689,,,,Rhox3e,
,Zfp688,,,,Rhox3f,
,Zfp687,,,,Rhox3g,
,Zfp68,,,,Rhox3h,
,Zfp677,,,,Rhox4a,
,Zfp672,,,,Rhox4b,
,Zfp668,,,,Rhox4c,
,Zfp667,,,,Rhox4d,
,Zfp664,,,,Rhox4e,
,Zfp661,,,,Rhox4f,
,Zfp658,,,,Rhox4g,
,Zfp655,,,,Rhox6,
,Zfp653,,,,Rhox7,
,Zfp652,,,,Rhox8,
,Zfp651,,,,Rhox9,
,Zfp647,,,,Sebox,
,Zfp646,,,,Shox2,
,Zfp644,,,,Uncx,
,Zfp641,,,,Vsx1,
,Zfp64,,,,Vsx2,
,Zfp639,,,,Isl1,
,Zfp637,,,,Isl2,
,Zfp629,,,,Lhx1,
,Zfp628,,,,Lhx2,
,Zfp623,,,,Lhx3,
,Zfp622,,,,Lhx4,
,Zfp62,,,,Lhx5,
,Zfp619,,,,Lhx6,
,Zfp618,,,,Lhx8,
,Zfp612,,,,Lhx9,
,Zfp609,,,,Lmx1a,
,Zfp608,,,,Lmx1b,
,Zfp607,,,,Hdx,
,Zfp606,,,,Pou1f1,
,Zfp605,,,,Pou2f1,
,Zfp60,,,,Pou2f2,
,Zfp598,,,,Pou2f3,
,Zfp597,,,,Pou3f1,
,Zfp595,,,,Pou3f2,
,Zfp593,,,,Pou3f3,
,Zfp592,,,,Pou3f4,
,Zfp59,,,,Pou4f1,
,Zfp583,,,,Pou4f2,
,Zfp580,,,,Pou4f3,
,Zfp58,,,,Pou5f1,
,Zfp579,,,,Pou5f2,
,Zfp575,,,,Pou6f1,
,Zfp574,,,,Pou6f2,
,Zfp57,,,,Hmbox1,
,Zfp566,,,,Hnf1a,
,Zfp563,,,,Hnf1b,
,Zfp560,,,,Six1,
,Zfp558,,,,Six2,
,Zfp553,,,,Six3,
,Zfp536,,,,Six4,
,Zfp532,,,,Six5,
,Zfp53,,,,Six6,
,Zfp526,,,,Gm12605,
,Zfp524,,,,Gm7148,
,Zfp523,,,,Irx1,
,Zfp521,,,,Irx2,
,Zfp518b,,,,Irx3,
,Zfp518a,,,,Irx4,
,Zfp516,,,,Irx5,
,Zfp513,,,,Irx6,
,Zfp512,,,,Meis1,
,Zfp511,,,,Meis2,
,Zfp51,,,,Meis3,
,Zfp507,,,,Mkx,
,Zfp503,,,,Pbx1,
,Zfp498,,,,Pbx2,
,Zfp488,,,,Pbx3,
